[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[0, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 7, 'line_length_gen': 4.714285714285714, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 7, 'uniq_words_ori': 6}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[1, {'nbr_sylable_gen': 7, 'nbr_sylable_origin': 4, 'line_length_gen': 3.5, 'line_length_ori': 1.75, 'uniq_words_gen': 6, 'uniq_words_ori': 4}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[2, {'nbr_sylable_gen': 0, 'nbr_sylable_origin': 8, 'line_length_gen': 0.0, 'line_length_ori': 3.5714285714285716, 'uniq_words_gen': 1, 'uniq_words_ori': 7}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[3, {'nbr_sylable_gen': 3, 'nbr_sylable_origin': 14, 'line_length_gen': 4.0, 'line_length_ori': 4.538461538461538, 'uniq_words_gen': 3, 'uniq_words_ori': 13}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[4, {'nbr_sylable_gen': 18, 'nbr_sylable_origin': 1, 'line_length_gen': 4.0, 'line_length_ori': 6.0, 'uniq_words_gen': 14, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[5, {'nbr_sylable_gen': 8, 'nbr_sylable_origin': 0, 'line_length_gen': 6.0, 'line_length_ori': 0.0, 'uniq_words_gen': 5, 'uniq_words_ori': 1}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[6, {'nbr_sylable_gen': 10, 'nbr_sylable_origin': 2, 'line_length_gen': 3.2222222222222223, 'line_length_ori': 4.666666666666667, 'uniq_words_gen': 9, 'uniq_words_ori': 3}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
[7, {'nbr_sylable_gen': 5, 'nbr_sylable_origin': 14, 'line_length_gen': 5.0, 'line_length_ori': 3.142857142857143, 'uniq_words_gen': 5, 'uniq_words_ori': 14}]
